iter	Accuracy	MultiClass
0	0.9990296824	1.415791542
1	0.9990296824	1.264617761
2	0.9990764447	1.141649131
3	0.9990647541	1.038221055
4	0.9990530635	0.9497753553
5	0.9990764447	0.8731113419
6	0.9990413729	0.8056087155
7	0.9990530635	0.7457609706
8	0.9990647541	0.6921102982
9	0.9990530635	0.6438619271
10	0.9990647541	0.6001066593
11	0.9990881352	0.5603877292
12	0.999123207	0.5240582508
13	0.9990881352	0.4907757265
14	0.999123207	0.4602594109
15	0.9991582787	0.432044217
16	0.9991348975	0.4059842838
17	0.9991699693	0.3818411074
18	0.9990998258	0.3594461712
19	0.999123207	0.3386505835
20	0.9991582787	0.3192863731
21	0.9991582787	0.3011960893
22	0.9991582787	0.2843198953
23	0.9991816598	0.2685512626
24	0.9991933504	0.253807392
25	0.9991933504	0.2400023087
26	0.9991582787	0.2270431072
27	0.9991699693	0.2148774647
28	0.9991699693	0.2034782251
29	0.9991699693	0.192727515
30	0.9991582787	0.1826195498
31	0.9991699693	0.1730990758
32	0.999205041	0.1641525002
33	0.999205041	0.1556992596
34	0.9991933504	0.1477421779
35	0.9991582787	0.1402581435
36	0.9991582787	0.1331624349
37	0.9991348975	0.126476729
38	0.9991348975	0.1201461179
39	0.9991465881	0.114188835
40	0.9991582787	0.1085613878
41	0.9991465881	0.1032271205
42	0.9991465881	0.09820794293
43	0.9991582787	0.09342741195
44	0.9991699693	0.08890391982
45	0.9991699693	0.08463134823
46	0.9991582787	0.08058233448
47	0.9991699693	0.07675568099
48	0.9991816598	0.07316147434
49	0.9991816598	0.06972268199
50	0.999205041	0.06646784881
51	0.999205041	0.06339241133
52	0.999205041	0.0604642817
53	0.999205041	0.05768532352
54	0.999205041	0.05505031087
55	0.999205041	0.05256165324
56	0.999205041	0.050194775
57	0.999205041	0.04797123046
58	0.999205041	0.04583835451
59	0.999205041	0.04381861147
60	0.999205041	0.04190139987
61	0.999205041	0.0401038268
62	0.999205041	0.03839268456
63	0.999205041	0.03675654509
64	0.9992167315	0.03520120357
65	0.9992167315	0.03374205906
66	0.9992167315	0.03234814708
67	0.9992167315	0.03103723943
68	0.9992167315	0.02977795097
69	0.9992284221	0.02858030323
70	0.9992284221	0.02744216479
71	0.9992284221	0.02637097722
72	0.9992284221	0.02536302773
73	0.9992284221	0.02439676931
74	0.9992284221	0.02347781946
75	0.9992401127	0.02261466694
76	0.9992401127	0.02178261028
77	0.9992401127	0.02101298793
78	0.9992401127	0.02026947924
79	0.9992401127	0.01956042843
80	0.9992401127	0.01889080681
81	0.9992401127	0.01824926074
82	0.9992401127	0.01764054195
83	0.9992401127	0.01707390338
84	0.9992401127	0.01652435498
85	0.9992518033	0.01601778214
86	0.9992518033	0.01552214293
87	0.9992518033	0.01505326833
88	0.9992518033	0.01460864234
89	0.9992518033	0.01418155792
90	0.9992518033	0.01382548209
91	0.9992518033	0.01344068911
92	0.9992518033	0.01307114859
93	0.9992518033	0.01279254105
94	0.9992518033	0.01248565662
95	0.9992518033	0.01247691951
96	0.9992518033	0.0122265718
97	0.9992518033	0.01200964848
98	0.9992518033	0.01174704001
99	0.9992518033	0.01162982085
100	0.9992518033	0.01137761656
101	0.9992518033	0.01113529154
102	0.9992518033	0.01103692191
103	0.9992518033	0.01081448097
104	0.9992751844	0.01060040336
105	0.9992751844	0.01059261462
106	0.9992751844	0.01058815369
107	0.9992751844	0.0104306305
108	0.9992751844	0.01042703932
109	0.9992751844	0.01027861046
110	0.9992751844	0.01013140451
111	0.9992751844	0.009976006031
112	0.9992751844	0.009971567635
113	0.9992751844	0.009896406138
114	0.9992751844	0.009723714037
115	0.9992751844	0.009720954181
116	0.9992751844	0.009718569683
