iter	Passed	Remaining
0	506	151479
1	975	145363
2	1595	157941
3	1855	137290
4	2181	128681
5	2659	130306
6	2981	124794
7	3295	120281
8	3684	119136
9	4212	122171
10	4451	116940
11	4967	119226
12	5207	114973
13	5455	111449
14	5992	113860
15	6437	114272
16	6674	111107
17	7154	112082
18	7483	110670
19	8055	112772
20	8308	110388
21	8549	108028
22	9059	109104
23	9301	106967
24	9819	108013
25	10109	106540
26	10363	104788
27	10632	103288
28	11191	104584
29	11665	104992
30	12036	104448
31	12275	102806
32	12694	102710
33	12940	101240
34	13374	101265
35	13686	100364
36	14074	100046
37	14480	99841
38	14719	98506
39	15250	99128
40	15756	99534
41	16242	99777
42	16772	100245
43	17199	100068
44	17775	100730
45	18325	101191
46	18823	101328
47	19406	101884
48	19937	102128
49	20487	102439
50	21029	102674
51	21522	102646
52	22041	102721
53	22356	101846
54	22879	101915
55	23420	102047
56	23946	102087
57	24527	102339
58	24766	101163
59	25276	101107
60	25841	101247
61	26370	101226
62	26956	101407
63	27492	101377
64	27933	100990
65	28533	101164
66	29073	101105
67	29640	101126
68	30246	101260
69	30776	101123
70	31313	100995
71	31882	100962
72	32449	100905
73	32955	100647
74	33545	100636
75	34128	100590
76	34699	100493
77	35258	100350
78	35793	100131
79	36311	99855
80	36873	99694
81	37431	99512
82	38049	99478
83	38622	99316
84	39214	99189
85	39872	99217
86	40590	99377
87	41282	99453
88	41833	99178
89	42392	98915
90	43168	99144
91	43841	99119
92	44498	99045
93	45292	99257
94	45946	99146
95	46592	99008
96	47323	99038
97	48153	99255
98	48829	99137
99	49651	99303
100	50380	99263
101	51181	99352
102	51975	99409
103	52761	99434
104	53483	99327
105	54285	99351
106	55050	99296
107	55869	99323
108	56721	99393
109	57499	99317
110	58401	99440
111	59158	99301
112	59642	98699
113	60429	98596
114	61190	98437
115	61998	98342
116	62479	97724
117	63287	97612
118	64049	97420
119	64865	97298
120	65580	97016
121	66381	96851
122	67066	96510
123	67962	96462
124	68703	96185
125	69559	96057
126	70410	95913
127	71134	95586
128	71981	95417
129	72655	95010
130	73364	94645
131	74175	94404
132	74936	94092
133	75709	93788
134	76388	93363
135	77187	93078
136	78082	92901
137	78849	92562
138	79600	92198
139	80400	91886
140	81215	91583
141	82097	91347
142	82937	91057
143	83770	90751
144	84564	90396
145	85391	90070
146	86207	89725
147	87118	89473
148	87897	89077
149	88664	88664
150	89398	88214
151	90285	87910
152	91011	87442
153	91808	87039
154	92661	86683
155	93544	86349
156	94450	86028
157	95274	85626
158	96094	85215
159	96771	84675
160	97385	84078
161	98306	83742
162	99103	83295
163	99912	82854
164	100727	82413
165	101567	81988
166	102474	81611
167	103333	81190
168	104131	80716
169	104959	80263
170	105791	79807
171	106586	79320
172	107368	78819
173	108246	78385
174	108745	77675
175	109545	77179
176	110387	76710
177	111219	76228
178	112058	75748
179	112765	75176
180	113626	74705
181	114339	74132
182	115206	73656
183	115963	73107
184	116741	72569
185	117599	72077
186	118450	71576
187	119160	70989
188	119877	70404
189	120744	69904
190	121557	69370
191	122280	68782
192	123039	68213
193	123780	67632
194	124527	67053
195	125321	66497
196	126134	65948
197	126946	65396
198	127854	64891
199	128749	64374
200	129601	63833
201	130499	63311
202	131299	62738
203	132134	62181
204	132888	61582
205	133611	60968
206	134358	60363
207	135225	59811
208	135969	59201
209	136811	58633
210	137655	58063
211	138598	57531
212	139494	56976
213	140273	56371
214	141149	55803
215	141479	55019
216	142303	54429
217	143148	53844
218	143974	53251
219	144667	52606
220	145454	51994
221	146264	51390
222	147010	50761
223	147874	50171
224	148487	49495
225	149169	48843
226	149983	48232
227	150780	47614
228	151445	46954
229	152384	46377
230	153194	45759
231	153893	45106
232	154688	44481
233	155500	43858
234	156236	43214
235	157032	42585
236	157941	41984
237	158797	41367
238	159550	40722
239	160393	40098
240	161021	39420
241	161854	38791
242	162708	38166
243	163451	37513
244	163866	36786
245	164662	36145
246	165585	35530
247	166429	34896
248	167116	34228
249	168058	33611
250	168823	32957
251	169652	32314
252	170506	31675
253	171389	31038
254	172227	30393
255	173134	29757
256	173820	29082
257	174677	28435
258	175479	27778
259	176324	27126
260	177215	26480
261	178039	25822
262	178799	25154
263	179680	24501
264	180534	23844
265	181290	23172
266	182098	22506
267	182865	21834
268	183516	21148
269	184273	20474
270	185050	19802
271	185937	19140
272	186747	18469
273	187372	17779
274	188300	17118
275	188866	16423
276	189771	15757
277	190641	15086
278	191486	14412
279	192249	13732
280	193034	13052
281	193866	12374
282	194638	11692
283	195422	11009
284	196186	10325
285	197030	9644
286	197891	8963
287	198755	8281
288	199586	7596
289	200430	6911
290	201162	6221
291	201862	5530
292	202620	4840
293	203402	4151
294	204238	3461
295	205028	2770
296	205781	2078
297	206541	1386
298	207625	694
299	208797	0
